# Kepler-10 (KIC 11904151) long-cadence light curve
# source_uri: mast:Kepler/url/missions/kepler/lightcurves/0119/011904151/kplr011904151-2009166043257_llc.fits
# source_url: https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:Kepler/url/missions/kepler/lightcurves/0119/011904151/kplr011904151-2009166043257_llc.fits
# retrieved_utc: 2026-07-19T12:44:04Z
# fits_sha256: a47542bd31fa92111f280a29885f6fbe860f0956012b442f780ca6d2cc3a19c6
# fits_bytes: 192960
# time: BKJD (BJD - 2454833); flux: PDCSAP_FLUX (e-/s), SAP_QUALITY==0 rows only
time_bkjd,flux_e_per_s
152.191674,544153.125
152.212108,544227.938
152.232542,544143.188
152.252976,544230.312
152.273410,544182.750
152.314278,544186.562
152.355146,544170.500
152.375580,544166.000
152.396015,544135.688
152.416449,544170.000
152.436883,544200.062
152.457317,544160.188
152.477751,544116.812
152.498185,544073.312
152.518619,544077.250
152.539053,544059.875
152.559487,544147.688
152.579921,544161.500
152.600355,544187.312
152.620790,544169.188
152.641224,544180.938
152.682092,544174.938
152.702526,544162.250
152.865999,544207.188
152.886433,544189.875
152.906867,544159.312
153.131642,544204.438
153.152076,544184.500
153.172510,544207.812
153.213378,544181.125
153.233812,544167.812
153.254246,544208.750
153.274681,544243.375
153.295115,544199.625
153.315549,544141.062
153.356417,544059.562
153.376851,544098.500
153.397285,544168.688
153.417719,544163.938
153.438153,544171.375
153.458587,544123.688
153.499456,544163.938
153.540324,544172.938
153.560758,544141.625
153.581192,544198.250
153.601626,544159.688
153.622060,544135.250
153.642494,544135.062
153.662928,544151.188
153.683362,544160.688
153.724230,544145.688
153.744665,544210.062
153.765099,544177.000
153.785533,544141.812
153.805967,544146.812
153.826401,544142.750
153.846835,544175.438
153.867269,544196.875
153.887703,544203.875
153.908137,544179.625
153.928571,544129.812
153.949005,544189.625
153.969439,544191.500
153.989874,544171.688
154.010308,544131.625
154.030742,544107.562
154.051176,544139.062
154.071610,544162.938
154.092044,544138.125
154.132912,544169.312
154.153346,544060.188
154.173780,544052.688
154.194214,544095.250
154.235083,544127.125
154.255517,544174.500
154.275951,544140.812
154.296385,544167.375
154.316819,544162.188
154.337253,544169.000
154.357687,544169.188
154.378121,544144.062
154.398555,544142.062
154.418989,544160.562
154.439423,544117.000
154.459858,544133.125
154.480292,544094.188
154.500726,544141.438
154.521160,544174.688
154.541594,544215.438
154.562028,544135.250
154.582462,544190.438
154.602896,544148.750
154.623330,544146.812
154.643764,544157.938
154.664198,544130.562
154.684632,544136.562
154.705066,544110.250
154.725501,544155.938
154.745935,544156.438
154.766369,544130.938
154.786803,544124.812
154.807237,544133.375
154.827671,544150.250
154.868539,544183.812
154.888973,544161.625
154.909407,544176.438
154.929841,544184.188
154.950275,544151.188
155.032012,544067.062
155.052446,544060.438
155.072880,544169.750
155.093314,544131.250
155.134182,544097.500
155.154616,544121.062
155.175050,544137.188
155.195484,544111.438
155.215918,544124.812
155.236352,544157.500
155.256787,544105.438
155.297655,544095.875
155.318089,544126.188
155.338523,544129.875
155.358957,544089.375
155.379391,544151.875
155.399825,544116.500
155.420259,544153.375
155.440693,544157.000
155.461127,544132.562
155.481561,544171.500
155.522429,544149.188
155.542864,544086.062
155.583732,544102.000
155.604166,544062.188
155.624600,544089.188
155.645034,544123.875
155.665468,544137.938
155.685902,544167.938
155.706336,544162.688
155.726770,544195.938
155.747204,544116.625
155.767638,544135.875
155.788072,544131.125
155.808507,544098.625
155.828941,544072.812
155.849375,544073.812
155.869809,544090.750
155.890243,544076.625
155.910677,544108.312
155.931111,544115.438
155.951545,544181.562
155.971979,544152.000
155.992413,544120.438
156.012847,544174.812
156.033281,544070.750
156.053715,544142.438
156.074150,544144.000
156.094584,544114.625
156.115018,544131.500
156.135452,544116.188
156.155886,544139.375
156.176320,544158.688
156.196754,544106.750
156.217188,544124.188
156.237622,544092.562
156.258056,544098.312
156.278490,544105.062
156.298924,544158.938
156.319358,544119.312
156.339792,544125.688
156.360226,544205.188
156.380661,544164.438
156.401095,544145.250
156.421529,544126.875
156.441963,544130.250
156.462397,544125.375
156.482831,544193.125
156.503265,544160.188
156.523699,544141.750
156.544133,544097.625
156.564567,544143.750
156.585001,544147.438
156.605435,544137.188
156.625869,544155.500
156.646303,544145.375
156.666738,544120.000
156.687172,544091.062
156.707606,544006.688
156.728040,544080.812
156.748474,544112.250
156.768908,544125.750
156.789342,544138.562
156.809776,544131.000
156.830210,544168.688
156.850644,544143.750
156.871078,544091.750
156.891512,544126.812
156.911946,544136.625
156.932380,544106.812
156.952815,544153.688
156.973248,544124.062
156.993683,544126.000
157.014117,544147.250
157.034551,544110.000
157.054985,544127.375
157.075419,544122.688
157.095853,544094.500
157.116287,544012.500
157.136721,544059.188
157.157155,544118.000
157.177589,544093.438
157.198023,544125.375
157.218457,544150.500
157.238891,544142.562
157.259325,544114.562
157.300194,544143.000
157.320628,544117.250
157.341062,544120.875
157.361496,544148.188
157.381930,544149.000
157.402364,544191.500
157.422798,544170.062
157.463666,544141.188
157.484100,544100.125
157.504534,544097.500
157.524968,544028.688
157.545402,544081.500
157.565836,544052.250
157.586270,544155.250
157.606704,544136.562
157.627138,544133.312
157.647573,544116.750
157.688441,544218.125
157.708875,544124.500
157.729309,544134.125
157.749743,544177.812
157.770177,544148.625
157.790611,544158.375
157.811045,544087.625
157.831479,544144.312
157.851913,544210.688
157.872347,544180.125
157.892781,544136.812
157.913215,544140.688
157.954084,544169.500
157.974518,544157.812
157.994952,544182.750
158.015386,544193.562
158.035820,544207.938
158.056254,544206.250
158.076688,544175.875
158.097122,544164.500
158.117556,544128.812
158.137990,544174.500
158.158424,544183.250
158.178858,544164.188
158.199292,544176.750
158.219726,544237.062
158.240160,544152.438
158.301463,544222.312
158.321897,544187.625
158.342331,544121.688
158.362765,544054.188
158.383199,544073.312
158.403633,544095.750
158.424067,544158.375
158.464935,544186.500
158.485369,544163.375
158.505803,544168.750
158.526237,544182.312
158.546671,544191.125
158.567105,544118.250
158.587539,544168.938
158.607973,544187.688
158.628407,544207.500
158.648841,544171.625
158.669276,544176.875
158.689710,544213.250
158.710144,544150.062
158.730578,544173.062
